#-------------------------------------------,,,,,,,,,,
  Great Value Flaked Light Skipjack Tuna,105,0.52,0.35,0,0,0,26.25,280,52.5,
"   1 3/4 x 1/2 can, 105 ml",,,,,,,,,,
  Sunrise Medium Firm Tofu,189,10.82,1.35,5.41,0,0,18.94,0,0,473.55
   230 g,,,,,,,,,,
 Snacks/Other,197,9.91,6.22,22.77,1,2.35,3.85,53.92,26.96,79.24
  McDonald's Iced Coffee with Sugar Free Syrup (Large),55,4.66,2.97,1.27,0,0.85,0.85,33.92,16.96,4.24
   250 ml,,,,,,,,,,
  Heineken Bière sans Alcool ,80,0,0,18,,,2,20,10,0
"   2 x 1 canette, 710 ml",,,,,,,,,,
  Our Finest 85% Swiss Dark Chocolate,62,5.25,3.25,3.5,1,1.5,1,,,75
"   1/4 x 4 squares, 10 g",,,,,,,,,,
,,,,,,,,,,
"Friday, June 21, 2024",2314,67.46,22.28,281.91,25.41,126.74,161.04,1892.53,799.12,2432.45
 Breakfast,742,30.44,8.587,68.22,8.48,27.03,50.05,914.29,644.63,1299.97
  Bananas,102,0.38,0.129,26.27,3,14.06,1.25,1,0,412
   115 g,,,,,,,,,,
  Astro 0% Original Plain Yogurt,27,0,0,3.77,0,2.74,2.74,25.72,3.43,
   60 g,,,,,,,,,,
  Egg,220,14.91,4.648,1.16,0,1.16,18.87,210,634,201
   150 g,,,,,,,,,,
  Dairyland 1% Cottage Cheese,79,0.72,0.36,5.04,0,5.04,12.24,388.8,7.2,144
   90 g,,,,,,,,,,
  Wonder 100% Whole Wheat Bread (75g),91,1.59,0.45,16.31,1.81,1.36,3.62,140.43,0,67.95
   34 g,,,,,,,,,,
  Silk Unsweetened Fortified Soy Beverage,90,4.5,0.5,4,2,1,8,90,,350
   1 cup (250 ml),,,,,,,,,,
  No Name Smooth Peanut Butter,133,8.34,2.5,11.67,1.67,1.67,3.33,58.34,0,125.02
   25 g,,,,,,,,,,
 Lunch,901,23.62,8.343,134.53,6.45,42.52,47.18,432.22,64.49,721.21
  Our Finest 85% Swiss Dark Chocolate,62,5.25,3.25,3.5,1,1.5,1,,,75
"   1/4 x 4 squares, 10 g",,,,,,,,,,
  Terra Delyssa Extra Virgin Olive Oil,80,9.34,1.33,0,0,0,0,0,0,0
   10 ml,,,,,,,,,,
  Grapes,183,0.42,0.143,47.96,2.4,41.02,1.91,5,0,506
   265 g,,,,,,,,,,
  Sunrise Medium Firm Tofu,49,2.82,0.35,1.41,0,0,4.94,0,0,123.55
   60 g,,,,,,,,,,
  Great Value Flaked Light Skipjack Tuna,104,0.52,0.35,0,0,0,26,277.28,51.99,
   104 ml,,,,,,,,,,
  Great Value Partly Skim Mozzarella,67,4.16,2.92,1.67,0.83,0,6.66,149.94,12.5,16.66
   25 g,,,,,,,,,,
  Selection Basmati Rice,356,1.11,0,79.99,2.22,0,6.67,,,
   100 g,,,,,,,,,,
 Dinner,314,1,0.5,34.28,4,24.34,44.71,307.27,70,295.65
  Liberte Greek Yogurt - Vanilla,184,0,,26.28,0,22.34,19.71,72.27,0,295.65
   230 g,,,,,,,,,,
  No Name Blue Cod Fillets,80,1,0.5,0,,,19,105,70,
   100 g,,,,,,,,,,
  Great Value Chopped Spinach Nuggets,50,0,0,8,4,2,6,130,0,
   2 x 3 nuggets (170 g),,,,,,,,,,
 Snacks/Other,357,12.4,4.85,44.88,6.48,32.85,19.1,238.75,20,115.62
  Simply Protein Peanut Butter Chocolate Bar,157,7.4,1.85,13.88,6.48,1.85,11.1,138.75,0,115.62
   37 g,,,,,,,,,,
  Tim Hortons Original Iced Latte - Medium,200,5,3,31,0,31,8,100,20,
   1 serving,,,,,,,,,,
,,,,,,,,,,
"Saturday, June 22, 2024",2258,51.76,21.644,282.62,34.33,82.41,172.11,1524.74,253.75,1532.53
 Breakfast,545,11.09,2.36,75.17,11.52,17.26,38.08,169.8,0,483.75
  Great Value Quick Oats,60,1.06,0.21,11.05,1.7,0,2.55,0,0,63.75
   17 g,,,,,,,,,,
  Great Value Original Granola,272,3.09,0.62,54.38,7.42,14.83,7.42,61.8,0,
   68 g,,,,,,,,,,
  Six Star Whey Protein +,105,1.54,0.93,4.94,,1.23,18.51,0,0,
   29 g,,,,,,,,,,
  Silk Unsweetened Fortified Soy Beverage,108,5.4,0.6,4.8,2.4,1.2,9.6,108,,420
   300 ml,,,,,,,,,,
 Lunch,755,17.08,9.7,126.16,9.23,6.7,28.37,619.44,29.75,104.66
  Our Finest 85% Swiss Dark Chocolate,75,6.3,3.9,4.2,1.2,1.8,1.2,,,90
   12 g,,,,,,,,,,
  Great Value Partly Skim Mozzarella,59,3.66,2.57,1.47,0.73,0,5.86,131.94,11,14.66
   22 g,,,,,,,,,,
  Classico Alfredo Pasta Sauce,56,4.38,2.5,3.75,0,1.25,1.25,487.5,18.75,0
   1 1/4 x 1/4 cup (75 ml),,,,,,,,,,
  Primo Spaghettini,565,2.74,0.73,116.74,7.3,3.65,20.06,0,0,
   155 g,,,,,,,,,,
 Dinner,571,11.17,4.734,28.41,6.1,18.85,86.31,496,204,766
  Our Finest 85% Swiss Dark Chocolate,62,5.25,3.25,3.5,1,1.5,1,,,75
   1/4 x 4 squares (10 g),,,,,,,,,,
  Great Value Bold Deli Style Prepared Mustard,25,0,0,0,0,0,1.5,300,0,
   5 x 1 tsp (25 g),,,,,,,,,,
  Apples ,73,0.24,0.039,19.33,3.4,14.55,0.36,1,0,150
   140 g,,,,,,,,,,
  Lilydale Chicken Breasts,374,5.1,1.36,0,0,0,78.2,187,204,
   340 g,,,,,,,,,,
  Mushrooms ,37,0.58,0.085,5.58,1.7,2.8,5.25,8,0,541
   170 g,,,,,,,,,,
 Snacks/Other,387,12.42,4.85,52.88,7.48,39.6,19.35,239.5,20,178.12
  Parnoosh Delicious Pitted Dates,30,0.02,0,8,1,6.75,0.25,0.75,0,62.5
   1/4 x 1/4 cup (10 g),,,,,,,,,,
  Tim Hortons Original Iced Latte - Medium,200,5,3,31,0,31,8,100,20,
   1 serving,,,,,,,,,,
  Simply Protein Peanut Butter Chocolate Bar,157,7.4,1.85,13.88,6.48,1.85,11.1,138.75,0,115.62
   37 g,,,,,,,,,,
,,,,,,,,,,
"Sunday, June 23, 2024",2496,78.09,24.365,343.96,29.8,131.62,123.84,1267.51,140.9,1885.75
 Breakfast,548,11.57,2.438,78.61,10.92,22.43,38.28,293.4,0,945.75
  Great Value Quick Oats,88,1.56,0.31,16.25,2.5,0,3.75,0,0,93.75
   25 g,,,,,,,,,,
  Quaker Instant Oatmeal - Cinnamon & Spice,140,2,0.4,28,3,7,4,170,0,0
   1 packet (38 g),,,,,,,,,,
  Bananas,93,0.35,0.118,23.98,2.7,12.84,1.14,1,0,376
   105 g,,,,,,,,,,
  Six Star Whey Protein +,105,1.54,0.93,4.94,,1.23,18.51,0,0,
   29 g,,,,,,,,,,
  Silk Unsweetened Fortified Soy Beverage,122,6.12,0.68,5.44,2.72,1.36,10.88,122.4,,476
   340 ml,,,,,,,,,,
 Lunch,1127,24.77,3.177,181.35,13.88,41.99,55.56,661.11,85.9,730
  Grapes,162,0.38,0.127,42.54,2.1,36.38,1.69,5,0,449
   235 g,,,,,,,,,,
  No Name Chunk Light Tuna Packed in Water,115,0.95,0,0,0,0,26.73,362.71,85.9,
   105 g,,,,,,,,,,
  Unico Black Beans,95,0.68,0,19.04,4.08,0.68,6.8,292.4,0,238
   85 ml,,,,,,,,,,
  Unico Rotini,565,2.74,0.73,116.74,7.3,3.65,20.06,0,0,0
   155 g,,,,,,,,,,
  Avocado Vegetable Oil ,177,20,2.312,0,0,,0,0,,0
   20 g,,,,,,,,,,
  Onions ,13,0.02,0.008,3.03,0.4,1.28,0.28,1,0,43
   30 g,,,,,,,,,,
 Dinner,241,12.75,3.75,19,3,12.2,13,33,0,210
  No Name Whole Almonds,95,7.5,0.5,3.5,2,0.5,3,0,0,
   1/2 x 1/4 cup (15 g),,,,,,,,,,
  Our Finest 85% Swiss Dark Chocolate,62,5.25,3.25,3.5,1,1.5,1,,,75
   1/4 x 4 squares (10 g),,,,,,,,,,
  Liberte Greek Yogurt - Vanilla,84,0,,12,0,10.2,9,33,0,135
   105 g,,,,,,,,,,
 Snacks/Other,580,29,15,65,2,55,17,280,55,
  Tim Hortons Original Iced Latte - Small,150,4,2,22,0,22,6,80,15,
   1 serving,,,,,,,,,,
  Great Value Peanut Protein Bar,180,10,3,15,2,6,9,105,0,
   1 bar (37 g),,,,,,,,,,
  Tim Hortons Double Double Coffee - Large,250,15,10,28,0,27,2,95,40,
   1 serving,,,,,,,,,,
,,,,,,,,,,
"Monday, June 24, 2024",4764,206.36,71.827,488.32,47.61,154.1,222.83,4037.49,991.7,2223.75
 Breakfast,843,30.28,8.381,90.59,10.55,46.08,54.37,787.49,650.7,1455.85
  No Name Fat Free Cottage Cheese,71,0,0,5.49,0,5.49,11.76,227.36,7.84,176.4
   98 g,,,,,,,,,,
  Bananas,98,0.36,0.123,25.12,2.9,13.45,1.2,1,0,394
   110 g,,,,,,,,,,
  Egg,220,14.91,4.648,1.16,0,1.16,18.87,210,634,201
   150 g,,,,,,,,,,
  Astro 0% Original Plain Yogurt,71,0,0,9.75,0,7.09,7.09,66.45,8.86,
   155 g,,,,,,,,,,
  Wonder 100% Whole Wheat Bread (75g),83,1.45,0.41,14.87,1.65,1.24,3.3,128.03,0,61.95
   31 g,,,,,,,,,,
  Silk Unsweetened Fortified Soy Beverage,90,4.5,0.5,4,2,1,8,90,,350
   1 cup (250 ml),,,,,,,,,,
  No Name Smooth Peanut Butter,144,9,2.7,12.6,1.8,1.8,3.6,63,0,135
   27 g,,,,,,,,,,
  Parnoosh Delicious Pitted Dates,66,0.06,0,17.6,2.2,14.85,0.55,1.65,0,137.5
   22 g,,,,,,,,,,
 Lunch,828,27.08,7.446,95.73,16.06,4.02,58.46,613,51,767.9
  Chosen Foods 100% Pure Avocado Oil,120,13.5,1.5,0,,,0,,,
   1 1/2 x 2 tsp (15 ml),,,,,,,,,,
  Ziggy's Internationale Pizza Mozzarella,107,6.66,4.67,1.33,1.33,,10.66,,,
   40 g,,,,,,,,,,
  Cucumber (Peeled) ,6,0.08,0.006,1.08,0.4,0.69,0.3,1,0,68
   50 g,,,,,,,,,,
  Great Value Flaked Light Skipjack Tuna,102,0.51,0.34,0,0,0,25.5,272,51,
   102 ml,,,,,,,,,,
  Unico Lentils,120,0.5,,21,5,1,8,340,,
   1/2 cup (125 ml),,,,,,,,,,
  President's Choice Organics Quinoa,373,5.83,0.93,72.32,9.33,2.33,14,0,0,699.9
   105 g,,,,,,,,,,
 Dinner,2913,139,53,287,19,98,101,2532,290,0
  Five Guys Hamburger,700,43,19.5,39,2,8,39,430,125,
"   1 burger, 265 g",,,,,,,,,,
  Sprite Sprite (Can),140,0,0,38,0,38,0,65,0,0
"   1 can, 355 ml",,,,,,,,,,
  Coca-Cola Coca-Cola (Can),140,0,0,39,0,39,0,25,0,0
"   1 can, 355 ml",,,,,,,,,,
  Five Guys Cheeseburger,980,55,26.5,40,2,9,47,1050,165,
"   1 cheeseburger, 303 g",,,,,,,,,,
  Five Guys Regular Fries,953,41,7,131,15,4,15,962,,
"   1 regular fries, 411 g",,,,,,,,,,
 Snacks/Other,180,10,3,15,2,6,9,105,0,
  Great Value Peanut Protein Bar,180,10,3,15,2,6,9,105,0,
   1 bar (37 g),,,,,,,,,,
,,,,,,,,,,
"Tuesday, June 25, 2024",2621,100.86,35.525,344.57,26.76,153.35,94.47,2385.59,753.57,3133.02
 Breakfast,782,27.81,7.631,82.08,9.46,39.77,52.71,781.59,608.57,1354.02
  Astro 0% Original Plain Yogurt,69,0,0,9.43,0,6.86,6.86,64.28,8.57,
   150 g,,,,,,,,,,
  Bananas,89,0.33,0.112,22.84,2.6,12.23,1.09,1,0,358
   100 g,,,,,,,,,,
  Egg,206,13.92,4.339,1.08,0,1.08,17.61,196,592,188
   140 g,,,,,,,,,,
  No Name Fat Free Cottage Cheese,72,0,0,5.6,0,5.6,12,232,8,180
   100 g,,,,,,,,,,
  Parnoosh Delicious Pitted Dates,45,0.04,0,12,1.5,10.12,0.38,1.12,0,93.75
   15 g,,,,,,,,,,
  Wonder 100% Whole Wheat Bread (75g),93,1.63,0.47,16.81,1.87,1.4,3.74,144.77,0,70.05
   35 g,,,,,,,,,,
  Silk Unsweetened Fortified Soy Beverage,91,4.55,0.51,4.05,2.02,1.01,8.1,91.08,,354.2
   253 ml,,,,,,,,,,
  No Name Smooth Peanut Butter,117,7.34,2.2,10.27,1.47,1.47,2.93,51.34,0,110.02
   22 g,,,,,,,,,,
 Lunch,1620,67,24.5,219,10,79,39,1600,145,1300
  McDonald's Hamburger,480,16,6,64,4,,24,980,50,350
"   2 x 1 serving, 200 g",,,,,,,,,,
  McDonald's Large Fries,560,27,3.5,74,6,0,6,420,,950
"   1 serving, 178 g",,,,,,,,,,
  McDonald's McCafé Vanilla Chai Frappe (Medium),580,24,15,81,0,79,9,200,95,0
"   1 serving, 476 ml",,,,,,,,,,
 Dinner,219,6.05,3.394,43.49,7.3,34.58,2.76,4,0,479
  Our Finest 85% Swiss Dark Chocolate,62,5.25,3.25,3.5,1,1.5,1,,,75
"   1/4 x 4 squares, 10 g",,,,,,,,,,
  Mango,135,0.56,0.137,35.19,3.7,30.64,1.06,4,0,323
   1 mango,,,,,,,,,,
  Blackberries ,22,0.24,0.007,4.8,2.6,2.44,0.7,0,0,81
   50 g,,,,,,,,,,
 Snacks/Other,,,,,,,,,,
,,,,,,,,,,
"Wednesday, June 26, 2024",2486,99.13,23.358,286.83,38.95,73.88,120.89,1744.11,521.61,2612.98
 Breakfast,754,26.11,7.029,81.78,9.5,38.46,50.03,754.74,481.86,1332.32
  No Name Fat Free Cottage Cheese,72,0,0,5.6,0,5.6,12,232,8,180
   100 g,,,,,,,,,,
  Bananas,87,0.32,0.11,22.38,2.5,11.99,1.07,1,0,351
   98 g,,,,,,,,,,
  Egg,162,10.93,3.409,0.85,0,0.85,13.84,154,465,147
   110 g,,,,,,,,,,
  Astro 0% Original Plain Yogurt,71,0,0,9.75,0,7.09,7.09,66.45,8.86,
   155 g,,,,,,,,,,
  Wonder 100% Whole Wheat Bread (75g),93,1.63,0.47,16.81,1.87,1.4,3.74,144.77,0,70.05
   35 g,,,,,,,,,,
  Parnoosh Delicious Pitted Dates,39,0.03,0,10.4,1.3,8.78,0.32,0.98,0,81.25
   13 g,,,,,,,,,,
  Silk Unsweetened Fortified Soy Beverage,97,4.86,0.54,4.32,2.16,1.08,8.64,97.2,,378
   270 ml,,,,,,,,,,
  No Name Smooth Peanut Butter,133,8.34,2.5,11.67,1.67,1.67,3.33,58.34,0,125.02
   25 g,,,,,,,,,,
 Lunch,813,16.38,6.668,139.19,9.21,5.36,30.86,605.07,30,16.66
  Classico Alfredo Pasta Sauce,53,4.08,2.33,3.5,0,1.17,1.17,455.13,17.5,0
   70 ml,,,,,,,,,,
  Great Value Partly Skim Mozzarella,67,4.16,2.92,1.67,0.83,0,6.66,149.94,12.5,16.66
   25 g,,,,,,,,,,
  Avocado Vegetable Oil,44,5,0.578,0,0,,0,0,,0
   5 g,,,,,,,,,,
  Primo Spaghettini,649,3.14,0.84,134.02,8.38,4.19,23.03,0,0,
   178 g,,,,,,,,,,
 Dinner,720,47.92,6.012,40.42,14.5,13.5,32.88,318.5,9.75,789
  No Name Whole Almonds,285,22.5,1.5,10.5,6,1.5,9,0,0,
   1 1/2 x 1/4 cup (45 g),,,,,,,,,,
  Blackberries ,37,0.42,0.012,8.17,4.5,4.15,1.18,1,0,138
   85 g,,,,,,,,,,
  Yoplait Source 0% Peach Yogurt,88,0,0,9.75,0,5.85,11.7,97.5,9.75,351
   195 g,,,,,,,,,,
  President's Choice Lightly Seasoned Peanuts,310,25,4.5,12,4,2,11,220,0,300
   1/3 cup (50 g),,,,,,,,,,
 Snacks/Other,199,8.72,3.649,25.44,5.74,16.56,7.12,65.8,0,475
  Our Finest 85% Swiss Dark Chocolate,62,5.25,3.25,3.5,1,1.5,1,,,75
"   1/4 x 4 squares, 10 g",,,,,,,,,,
  Apples ,72,0.23,0.039,19.06,3.3,14.34,0.36,1,0,148
"   1 medium (2-3/4"" dia) (approx 3 per lb)",,,,,,,,,,
  Silk Unsweetened Fortified Soy Beverage,65,3.24,0.36,2.88,1.44,0.72,5.76,64.8,,252
   180 ml,,,,,,,,,,
,,,,,,,,,,
"Thursday, June 27, 2024",3153,122.18,49.828,373.5,27.07,157.88,141.49,2808.57,749.19,2000.8
 Breakfast,733,26.57,7.238,75.58,8.85,36.6,49.23,732.37,502.57,1238.8
  No Name Fat Free Cottage Cheese,72,0,0,5.6,0,5.6,12,232,8,180
   100 g,,,,,,,,,,
  Bananas,67,0.25,0.084,17.13,2,9.17,0.82,1,0,268
   75 g,,,,,,,,,,
  Astro 0% Original Plain Yogurt,69,0,0,9.43,0,6.86,6.86,64.28,8.57,
   150 g,,,,,,,,,,
  Egg,169,11.43,3.564,0.89,0,0.89,14.47,161,486,154
   115 g,,,,,,,,,,
  Wonder 100% Whole Wheat Bread (75g),77,1.35,0.39,13.93,1.55,1.16,3.1,119.97,0,58.05
   29 g,,,,,,,,,,
  Parnoosh Delicious Pitted Dates,45,0.04,0,12,1.5,10.12,0.38,1.12,0,93.75
   15 g,,,,,,,,,,
  Silk Unsweetened Fortified Soy Beverage,90,4.5,0.5,4,2,1,8,90,,350
   1 cup (250 ml),,,,,,,,,,
  No Name Smooth Peanut Butter,144,9,2.7,12.6,1.8,1.8,3.6,63,0,135
   27 g,,,,,,,,,,
 Lunch,785,12.11,4.09,112.92,12.22,3.28,58.26,1036.2,91.62,212
  No Name Chunk Light Tuna Packed in Water,122,1.02,0,0,0,0,28.5,386.84,91.62,
   112 g,,,,,,,,,,
  Unico Lentils,228,0.95,,39.98,9.52,1.9,15.23,647.36,,
   238 ml,,,,,,,,,,
  Avocado Vegetable Oil,44,5,0.578,0,0,,0,0,,0
   5 g,,,,,,,,,,
  Cucumber (Peeled),11,0.14,0.012,1.94,0.6,1.24,0.53,2,0,122
   90 g,,,,,,,,,,
  Ziggy's Internationale Pizza Mozzarella,80,5,3.5,1,1,,8,,,
   1 serving (30 g),,,,,,,,,,
  President's Choice Basmati Rice,300,0,0,70,1.1,0.14,6,0,0,90
   2 x 1/4 cup (90 g),,,,,,,,,,
 Dinner,1195,59.5,25.5,134,5,82,30,830,135,550
  Our Finest 85% Swiss Dark Chocolate,125,10.5,6.5,7,2,3,2,,,150
   1/2 x 4 squares (20 g),,,,,,,,,,
  McDonald's McCafé Vanilla Chai Frappe (Medium),580,24,15,81,0,79,9,200,95,0
"   1 serving, 476 ml",,,,,,,,,,
  McDonald's Small French Fries,240,11,1.5,31,3,0,3,180,0,400
"   per 1 serving , 75 g",,,,,,,,,,
  McDonald's 6 Chicken McNuggets,250,14,2.5,15,0,0,16,450,40,0
"   1 serving, 95 g",,,,,,,,,,
 Snacks/Other,440,24,13,51,1,36,4,210,20,
  Tim Hortons Blueberry Donut,340,18,9,40,1,25,3,170,5,
   1 serving,,,,,,,,,,
  Tim Hortons Regular Coffee - Medium,100,6,4,11,0,11,1,40,15,
   1 serving,,,,,,,,,,
,,,,,,,,,,
"Friday, June 28, 2024",3110,108.3,27.062,431.57,29.42,125.57,110.82,2956.41,545.79,2475.78
 Breakfast,719,24.45,6.606,78.9,9.14,38.75,47.69,705.23,501.77,1281.78
  Egg,169,11.43,3.564,0.89,0,0.89,14.47,161,486,154
   115 g,,,,,,,,,,
  Bananas,89,0.33,0.112,22.84,2.6,12.23,1.09,1,0,358
   100 g,,,,,,,,,,
  Astro 0% Original Plain Yogurt,69,0,0,9.43,0,6.86,6.86,64.28,8.57,
   150 g,,,,,,,,,,
  No Name Fat Free Cottage Cheese,65,0,0,5.04,0,5.04,10.8,208.8,7.2,162
   90 g,,,,,,,,,,
  Parnoosh Delicious Pitted Dates,45,0.04,0,12,1.5,10.12,0.38,1.12,0,93.75
   15 g,,,,,,,,,,
  Wonder 100% Whole Wheat Bread (75g),85,1.49,0.43,15.37,1.71,1.28,3.42,132.37,0,64.05
   32 g,,,,,,,,,,
  Silk Unsweetened Fortified Soy Beverage,90,4.5,0.5,4,2,1,8,90,,350
"   1 cup, 250 ml",,,,,,,,,,
  No Name Smooth Peanut Butter,107,6.66,2,9.33,1.33,1.33,2.67,46.66,0,99.98
   20 g,,,,,,,,,,
 Lunch,781,9.27,4.866,143.4,10,23.8,33.11,333,18,846
  Mangos ,65,0.27,0.066,17,1.8,14.8,0.51,2,0,156
   100 g,,,,,,,,,,
  Mutti Passata,20,0,0,4,1,3,1,115,0,250
"   1/4 cup, 60 ml",,,,,,,,,,
  Great Value Partly Skim Mozzarella,96,6,4.2,2.4,1.2,0,9.6,216,18,24
   36 g,,,,,,,,,,
  Fiorfiore Rigatoni,600,3,0.6,120,6,6,22,0,0,416
"   2 x 1/6 of package , 170 g",,,,,,,,,,
 Dinner,1370,65.58,9.59,173.27,9.28,33.02,28.02,1848.18,21.02,348
  Doritos Nacho Cheese,1160,60.32,6.96,143.84,9.28,4.64,18.56,1716.8,0,348
   232 g,,,,,,,,,,
  Starbucks Starbucks Blonde Vanilla Latte (Tall),210,5.26,2.63,29.43,0,28.38,9.46,131.38,21.02,
   372 ml,,,,,,,,,,
 Snacks/Other,240,9,6,36,1,30,2,70,5,
  Mars Mars Bar,240,9,6,36,1,30,2,70,5,
"   1 bar, 50 g",,,,,,,,,,
,,,,,,,,,,
"Saturday, June 29, 2024",2206,72.87,13.626,247.22,34.09,43.76,145.46,1834.43,187.5,2501.5
 Breakfast,466,11.15,2.37,57.64,8.52,9.54,37.72,283.4,0,553.5
  Six Star Whey Protein +,108,1.6,0.96,5.1,,1.28,19.14,0,0,
   30 g,,,,,,,,,,
  Silk Unsweetened Fortified Soy Beverage,113,5.67,0.63,5.04,2.52,1.26,10.08,113.4,,441
   315 ml,,,,,,,,,,
  Great Value Quick Oats,105,1.88,0.38,19.5,3,0,4.5,0,0,112.5
   3/4 x 1/2 cup (30 g),,,,,,,,,,
  Quaker Instant Oatmeal - Cinnamon & Spice,140,2,0.4,28,3,7,4,170,0,0
   1 packet (38 g),,,,,,,,,,
 Lunch,727,19.34,6.401,115.06,11.85,16.39,29.31,831.13,25,130
"  Val Nature Proteines Saveur Arachides, Amandes et Chocolat Noir",180,11,2.5,12,2,8,11,180,0,
   1 barre (37 g),,,,,,,,,,
  Blackberries ,34,0.39,0.011,7.69,4.2,3.9,1.11,1,0,130
   80 g,,,,,,,,,,
  Classico Alfredo Pasta Sauce,75,5.83,3.33,5,0,1.67,1.67,650.13,25,0
   100 ml,,,,,,,,,,
  Primo Linguine,438,2.12,0.56,90.37,5.65,2.82,15.53,0,0,
   120 g,,,,,,,,,,
 Dinner,818,32.66,3.775,65.88,9.4,15.67,61.15,525.5,162.5,1062
  Great Value Bold Deli Style Prepared Mustard,20,0,0,0,0,0,1.2,240,0,
   4 x 1 tsp (20 g),,,,,,,,,,
  Avocado Vegetable Oil ,265,30,3.468,0,0,,0,0,,0
   30 g,,,,,,,,,,
  Lilydale Chicken Breast Boneless Skinless,262,2.5,0.25,2.5,0,2.5,55,112.5,162.5,0
   250 g,,,,,,,,,,
  Sweet Potato ,271,0.16,0.057,63.38,9.4,13.17,4.95,173,0,1062
   315 g,,,,,,,,,,
 Snacks/Other,195,9.72,1.08,8.64,4.32,2.16,17.28,194.4,,756
  Silk Unsweetened Fortified Soy Beverage,130,6.48,0.72,5.76,2.88,1.44,11.52,129.6,,504
   360 ml,,,,,,,,,,
  Silk Unsweetened Fortified Soy Beverage,65,3.24,0.36,2.88,1.44,0.72,5.76,64.8,,252
   180 ml,,,,,,,,,,
,,,,,,,,,,
"Sunday, June 30, 2024",2455,95.92,23.975,260.83,22.95,70.37,152.83,1175.22,311.62,1461.59
 Breakfast,479,10.85,2.3,62.39,9.02,16.29,37.22,284.15,0,597.25
  Great Value Quick Oats,88,1.56,0.31,16.25,2.5,0,3.75,0,0,93.75
   25 g,,,,,,,,,,
  Quaker Instant Oatmeal - Cinnamon & Spice,140,2,0.4,28,3,7,4,170,0,0
"   1 packet, 38 g",,,,,,,,,,
  Parnoosh Delicious Pitted Dates,30,0.02,0,8,1,6.75,0.25,0.75,0,62.5
   1/4 x 1/4 cup (10 g),,,,,,,,,,
  Silk Unsweetened Fortified Soy Beverage,113,5.67,0.63,5.04,2.52,1.26,10.08,113.4,,441
   315 ml,,,,,,,,,,
  Six Star Whey Protein +,108,1.6,0.96,5.1,,1.28,19.14,0,0,
   30 g,,,,,,,,,,
 Lunch,763,26.96,4.743,93.89,4.3,11.01,40.07,524.32,105.87,335.34
  No Name Mozzarella Shredded Cheese,67,4.67,2.33,1.33,,,5.34,146.74,16.68,13.34
   20 g,,,,,,,,,,
  No Name Chunk Light Tuna Packed in Water,119,0.99,0,0,0,0,27.75,376.58,89.19,
   109 g,,,,,,,,,,
  Avocado Vegetable Oil,177,20,2.312,0,0,,0,0,,0
   20 g,,,,,,,,,,
  Bananas ,80,0.3,0.101,20.56,2.3,11.01,0.98,1,0,322
   90 g,,,,,,,,,,
  Selection Basmati Rice,320,1,0,72,2,0,6,,,
"   2 x 1 portion, 90 g",,,,,,,,,,
 Dinner,833,34.11,6.432,70.55,6.63,14.07,62.54,116.75,165.75,404
  Our Finest 85% Swiss Dark Chocolate,62,5.25,3.25,3.5,1,1.5,1,,,75
   1/4 x 4 squares (10 g),,,,,,,,,,
  Strawberries ,69,0.64,0.032,16.51,4.3,10.02,1.44,2,0,329
   215 g,,,,,,,,,,
  Selection Basmati Rice,213,0.67,0,47.99,1.33,0,4,,,
   60 g,,,,,,,,,,
  Avocado Vegetable Oil,221,25,2.89,0,0,,0,0,,0
   25 g,,,,,,,,,,
  Lilydale Chicken Breast Boneless Skinless,268,2.55,0.26,2.55,0,2.55,56.1,114.75,165.75,0
   255 g,,,,,,,,,,
 Snacks/Other,380,24,10.5,34,3,29,13,250,40,125
  Nature Valley Protein Peanut Almond & Dark Chocolate,180,11,2.5,12,3,8,11,170,5,125
"   1 bar, 37 g",,,,,,,,,,
  Tim Hortons Double Double Coffee - Medium,200,13,8,22,0,21,2,80,35,
   1 serving,,,,,,,,,,
,,,,,,,,,,
Total,76856,2682.57,853.799,9167.59,1032.15,2864.43,4382.09,60413.92,16858,74996.7
